Well,Strain,Pixel_33_37_Values,Pixel_33_37_Avg,Min_Value,Difference_33_37_Avg_Min,Fraction_33_37_Avg_Min
Well 1-1,cc-125,"[np.float64(13.454545454545455), np.float64(14.363636363636363), np.float64(13.636363636363637), np.float64(13.545454545454545), np.float64(14.272727272727273)]",13.854545454545455,11.272727272727273,2.581818181818182,1.229032258064516
Well 1-2,cc-125,"[np.float64(16.454545454545453), np.float64(17.636363636363637), np.float64(18.454545454545453), np.float64(19.727272727272727), np.float64(13.909090909090908)]",17.236363636363638,12.727272727272727,4.5090909090909115,1.3542857142857145
Well 1-3,cc-125,"[np.float64(16.818181818181817), np.float64(16.636363636363637), np.float64(16.363636363636363), np.float64(16.818181818181817), np.float64(18.0)]",16.927272727272726,14.272727272727273,2.6545454545454525,1.1859872611464968
Well 1-4,cc-125,"[np.float64(15.454545454545455), np.float64(16.454545454545453), np.float64(16.545454545454547), np.float64(17.0), np.float64(14.818181818181818)]",16.054545454545455,14.363636363636363,1.6909090909090914,1.1177215189873417
Well 1-5,cc-125,"[np.float64(17.0), np.float64(17.727272727272727), np.float64(17.181818181818183), np.float64(15.909090909090908), np.float64(17.454545454545453)]",17.054545454545455,15.363636363636363,1.6909090909090914,1.1100591715976331
Well 1-6,cc-125,"[np.float64(15.454545454545455), np.float64(17.181818181818183), np.float64(17.0), np.float64(16.636363636363637), np.float64(17.454545454545453)]",16.745454545454546,14.454545454545455,2.290909090909091,1.1584905660377358
Well 1-7,cc-125,"[np.float64(17.09090909090909), np.float64(16.818181818181817), np.float64(17.272727272727273), np.float64(18.181818181818183), np.float64(17.454545454545453)]",17.363636363636363,14.272727272727273,3.09090909090909,1.21656050955414
Well 1-8,cc-125,"[np.float64(17.181818181818183), np.float64(16.09090909090909), np.float64(16.818181818181817), np.float64(16.545454545454547), np.float64(16.636363636363637)]",16.654545454545456,14.636363636363637,2.0181818181818194,1.137888198757764
Well 1-9,cc-125,"[np.float64(17.272727272727273), np.float64(16.90909090909091), np.float64(17.90909090909091), np.float64(17.09090909090909), np.float64(18.363636363636363)]",17.509090909090908,15.454545454545455,2.054545454545453,1.1329411764705881
Well 1-10,cc-125,"[np.float64(15.727272727272727), np.float64(14.818181818181818), np.float64(15.727272727272727), np.float64(15.545454545454545), np.float64(19.636363636363637)]",16.29090909090909,14.818181818181818,1.4727272727272709,1.0993865030674845
Well 1-11,cc-125,"[np.float64(16.181818181818183), np.float64(15.454545454545455), np.float64(16.545454545454547), np.float64(16.818181818181817), np.float64(16.181818181818183)]",16.236363636363638,14.909090909090908,1.3272727272727298,1.0890243902439025
Well 2-1,cc-125,"[np.float64(17.272727272727273), np.float64(17.818181818181817), np.float64(18.09090909090909), np.float64(18.454545454545453), np.float64(18.818181818181817)]",18.09090909090909,15.545454545454545,2.545454545454545,1.1637426900584795
Well 2-2,cc-125,"[np.float64(16.727272727272727), np.float64(16.90909090909091), np.float64(17.272727272727273), np.float64(17.363636363636363), np.float64(17.818181818181817)]",17.21818181818182,16.545454545454547,0.672727272727272,1.0406593406593405
Well 2-3,cc-125,"[np.float64(22.90909090909091), np.float64(18.818181818181817), np.float64(18.90909090909091), np.float64(18.454545454545453), np.float64(19.0)]",19.618181818181817,18.181818181818183,1.4363636363636338,1.079
Well 2-4,cc-125,"[np.float64(21.636363636363637), np.float64(22.90909090909091), np.float64(19.727272727272727), np.float64(19.90909090909091), np.float64(20.0)]",20.836363636363636,19.09090909090909,1.745454545454546,1.0914285714285714
Well 2-5,cc-125,"[np.float64(21.727272727272727), np.float64(20.454545454545453), np.float64(20.454545454545453), np.float64(20.181818181818183), np.float64(20.454545454545453)]",20.654545454545453,18.636363636363637,2.018181818181816,1.1082926829268291
Well 2-6,cc-125,"[np.float64(19.636363636363637), np.float64(18.818181818181817), np.float64(20.454545454545453), np.float64(20.636363636363637), np.float64(20.636363636363637)]",20.03636363636364,18.818181818181817,1.2181818181818223,1.0647342995169085
Well 2-7,cc-125,"[np.float64(20.272727272727273), np.float64(20.454545454545453), np.float64(20.727272727272727), np.float64(20.636363636363637), np.float64(21.09090909090909)]",20.636363636363637,18.90909090909091,1.7272727272727266,1.0913461538461537
Well 2-8,cc-125,"[np.float64(22.818181818181817), np.float64(22.272727272727273), np.float64(21.272727272727273), np.float64(21.363636363636363), np.float64(21.636363636363637)]",21.872727272727275,18.727272727272727,3.145454545454548,1.1679611650485437
